# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000038295	TLL1	-0.1	0.942812587099835
ENSG00000038382	TRIO	0.1	0.838146228237128
ENSG00000038427	VCAN	-0.4	0.401169902441956
ENSG00000039068	CDH1	1.3	4.5205158531318E-05
ENSG00000039123	MTREX	0.2	0.353043084158614
ENSG00000039319	ZFYVE16	-0.2	0.565152406910984
ENSG00000039523	RIPOR1	0.1	0.838836760958366
ENSG00000039560	RAI14	-0.1	0.785285597006633
ENSG00000039600	SOX30	-0.5	0.232521260879454
ENSG00000039650	PNKP	0.2	0.426594785994909
ENSG00000040199	PHLPP2	-0.1	0.88738075380701
ENSG00000040275	SPDL1	-0.1	0.736343120831329
ENSG00000040341	STAU2	-0.2	0.33547447158348
ENSG00000040531	CTNS	-0.1	0.7999304655881
ENSG00000040608	RTN4R	0.7	0.01682517169046
ENSG00000040633	PHF23	-0.2	0.648000324821289
ENSG00000040933	INPP4A	0.2	0.341777321068399
ENSG00000041353	RAB27B	0.1	0.895736026478541
ENSG00000041515	MYO16	-0.7	0.084783652693753
ENSG00000041802	LSG1	-0.1	0.891273415129758
ENSG00000041880	PARP3	-0.3	0.106661749025149
ENSG00000041982	TNC	-0.3	0.162529710183244
ENSG00000041988	THAP3	0.1	0.767868152876152
ENSG00000042088	TDP1	0.2	0.192696041633186
ENSG00000042286	AIFM2	-0.1	0.770320516604306
ENSG00000042317	AL049834.1	-0.3	0.219864284201829
ENSG00000042429	MED17	-0.2	0.721796102072863
ENSG00000042445	RETSAT	-0.2	0.56169207844836
ENSG00000042493	CAPG	0.2	0.733490781394481
ENSG00000043039	BARX2	0.1	0.899307097870547
ENSG00000043514	TRIT1	0.2	0.505919756244767
ENSG00000044090	CUL7	-0.1	0.838642882116258
ENSG00000044574	HSPA5	0.2	0.551206871144731
ENSG00000046604	DSG2	0.2	0.430650491642762
ENSG00000046647	GEMIN8	0.1	0.735201939136662
ENSG00000046651	OFD1	-0.1	0.676868796749975
ENSG00000046653	GPM6B	-0.3	0.678436553278218
ENSG00000047056	WDR37	-0.2	0.574091053789822
ENSG00000047188	YTHDC2	-0.1	0.718669176050523
ENSG00000047249	ATP6V1H	0.1	0.841129917975238
ENSG00000047315	POLR2B	-0.2	0.243908337686305
ENSG00000047346	FAM214A	-0.3	0.366397415134722
ENSG00000047365	ARAP2	0.1	0.868426003456735
ENSG00000047410	TPR	-0.1	0.872098861094286
ENSG00000047578	KIAA0556	-0.1	0.572070549237296
ENSG00000047621	C12orf4	-0.2	0.731384733686557
ENSG00000047634	SCML1	0.3	0.162940095124591
ENSG00000047648	ARHGAP6	-0.4	0.27412808036282
ENSG00000047662	FAM184B	0.1	0.84354163045475
ENSG00000047849	MAP4	0.1	0.756036930212028
ENSG00000047932	GOPC	0.1	0.60004894618395
ENSG00000047936	ROS1	0.7	0.039372814592925
