id,log2FoldChange,padj
ENSG00000054523,0.1,0.797165403
ENSG00000054598,-0.1,0.912792546
ENSG00000054654,0.2,0.605695812
ENSG00000054690,0.2,0.715262002
ENSG00000054793,0.3,0.116995558
ENSG00000054965,-0.1,0.586278695
ENSG00000054967,0.2,0.393966447
ENSG00000054983,-0.3,0.598972211
ENSG00000055044,0.2,0.354051598
ENSG00000055070,-0.1,0.794320504
ENSG00000055118,0.6,0.061641711
ENSG00000055147,-0.1,0.65591457
ENSG00000055163,-0.4,0.113223667
ENSG00000055208,0.2,0.251431218
ENSG00000055211,0.1,0.563812902
ENSG00000055332,0.2,0.315233655
ENSG00000055483,0.2,0.468652663
ENSG00000055732,0.8,0.001371948
ENSG00000055950,0.1,0.757410586
ENSG00000056097,-0.1,0.548350188
ENSG00000056277,0.2,0.504273756
ENSG00000056558,-0.1,0.914138471
ENSG00000056586,-0.1,0.785171718
ENSG00000056736,-0.5,0.223739829
ENSG00000056972,0.3,0.370476092
ENSG00000057019,-0.1,0.71136434
ENSG00000057149,0.5,0.162327904
ENSG00000057294,0.5,0.023798427
ENSG00000057657,0.3,0.607363649
ENSG00000057663,0.1,0.770742491
ENSG00000057704,-0.6,0.042257304
ENSG00000057757,0.2,0.208455069
ENSG00000058056,0.2,0.475107206
ENSG00000058063,-0.1,0.856652996
ENSG00000058085,0.1,0.899157298
ENSG00000058091,-0.4,0.169923391
ENSG00000058262,-0.1,0.837495463
ENSG00000058272,-0.2,0.404588431
ENSG00000058453,0.1,0.785153884
ENSG00000058600,0.1,0.731384734
ENSG00000058668,-0.5,0.021207303
ENSG00000058673,0.1,0.95099243
ENSG00000058729,-0.2,0.41286219
ENSG00000058799,-0.2,0.274819491
ENSG00000058804,0.2,0.513242121
ENSG00000058866,-0.4,0.370536777
ENSG00000059122,-0.1,0.837811824
ENSG00000059145,0.2,0.501685873
ENSG00000059377,-0.3,0.418202687
ENSG00000059378,0.3,0.107178178
ENSG00000059573,0.1,0.613352973
ENSG00000059691,0.1,0.901136908
ENSG00000059728,0.4,0.341743674
ENSG00000059758,-0.3,0.160239968
ENSG00000059769,0.1,0.71769121
ENSG00000060069,-0.2,0.411942853
ENSG00000060138,0.5,0.032941161
ENSG00000060140,0.2,0.626856923
ENSG00000060339,-0.2,0.2812377
ENSG00000060491,0.1,0.652194612
ENSG00000060558,-0.7,0.111559766
ENSG00000060566,-0.4,0.501250619
ENSG00000060642,-0.2,0.447754958
ENSG00000060656,0.9,0.005919897
ENSG00000060688,0.2,0.237271131
ENSG00000060749,-0.1,0.85912095
ENSG00000060971,0.3,0.185069143
ENSG00000060982,-0.6,0.0553015
ENSG00000061273,0.1,0.804770129
ENSG00000061656,-0.1,0.769932076
ENSG00000061794,0.2,0.271064573
ENSG00000061918,-0.5,0.205673831
ENSG00000061936,0.1,0.829800572
ENSG00000061938,0.1,0.709115437
ENSG00000061987,-0.1,0.641783175
ENSG00000062038,1.1,0.001484843
ENSG00000062194,0.2,0.21845109
ENSG00000062282,-0.3,0.123792447
ENSG00000062370,-0.3,0.436498615
ENSG00000062485,0.2,0.379356921
ENSG00000062582,0.3,0.483043448
ENSG00000062598,-0.2,0.321183987
ENSG00000062716,0.1,0.536537734
ENSG00000062725,-0.4,0.047946889
ENSG00000062822,0.3,0.175972727
ENSG00000063046,0.1,0.702980551
ENSG00000063127,-0.3,0.566516393
ENSG00000063169,-0.1,0.718853789
ENSG00000063176,-0.2,0.476579816
ENSG00000063177,0.2,0.536144231
ENSG00000063180,-0.1,0.869208393
ENSG00000063241,0.2,0.204163446
ENSG00000063244,-0.1,0.445092126
ENSG00000063245,-0.1,0.735087191
ENSG00000063322,-0.2,0.320846224
ENSG00000063438,-0.7,0.008072483
ENSG00000063587,-0.1,0.639104146
ENSG00000063660,0.2,0.204226704
ENSG00000063854,0.1,0.665096458
ENSG00000064012,-0.1,0.792999514
ENSG00000064042,0.4,0.066584746
ENSG00000064102,0.3,0.116990802
ENSG00000064115,-0.1,0.792323808
ENSG00000064199,-0.1,0.744135266
ENSG00000064205,0.5,0.174698508
ENSG00000064225,-0.2,0.489818137
ENSG00000064300,-0.1,0.909457292
ENSG00000064309,0.2,0.624225191
ENSG00000064419,0.1,0.443317117
ENSG00000064489,0.2,0.768435356
ENSG00000064490,-0.1,0.714728488
ENSG00000064545,0.2,0.19999395
ENSG00000064547,0.5,0.007990112
ENSG00000064601,-0.1,0.882196389
ENSG00000064607,0.1,0.743156791
ENSG00000064651,-0.2,0.736664289
ENSG00000064652,-0.2,0.361050397
ENSG00000064666,0.3,0.087997778
ENSG00000064687,-0.2,0.643154329
ENSG00000064703,-0.2,0.39372211
